Date,Baseline,BBP & OBV & RSI & WPR,BBP & OBV & AU & WPR,BBP & OBV & AD & WPR,BBP & OBV & S & WPR,BBP & RSI & AU & WPR,BBP & RSI & AD & WPR,BBP & RSI & S & WPR,BBP & AU & AD & WPR,BBP & AU & S & WPR,BBP & AD & S & WPR,OBV & RSI & AU & WPR,OBV & RSI & AD & WPR,OBV & RSI & S & WPR,OBV & AU & AD & WPR,OBV & AU & S & WPR,OBV & AD & S & WPR,RSI & AU & AD & WPR,RSI & AU & S & WPR,RSI & AD & S & WPR,AU & AD & S & WPR
2020-03-17,-54670.0,16370.0,-54670.0,-54670.0,-54670.0,-28160.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,-54670.0,54670.0,35520.0,-54670.0,-54670.0
2020-03-18,-59400.0,11640.0,-59400.0,-59400.0,-59400.0,-32890.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,-59400.0,59400.0,35520.0,-59400.0,-59400.0
2020-03-19,-53270.0,5510.0,-53270.0,-53270.0,-53270.0,-26760.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,-53270.0,53270.0,29390.0,-53270.0,-53270.0
2020-03-20,-62220.0,-3440.0,-62220.0,-62220.0,-62220.0,-17810.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,-62220.0,62220.0,29390.0,-62220.0,-62220.0
2020-03-23,-62440.0,-3220.0,-62440.0,-62440.0,-62440.0,-18030.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,-62440.0,62440.0,29610.0,-62440.0,-62440.0
2020-03-24,-50080.0,9140.0,-50080.0,-50080.0,-50080.0,-5670.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,-50080.0,50080.0,29610.0,-50080.0,-50080.0
2020-03-25,-47470.0,6530.0,-47470.0,-47470.0,-47470.0,-8280.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,-47470.0,47470.0,27000.0,-47470.0,-47470.0
2020-03-26,-42840.0,11160.0,-42840.0,-42840.0,-42840.0,-8280.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,-42840.0,42840.0,27000.0,-42840.0,-42840.0
2020-03-27,-51800.0,20120.0,-51800.0,-51800.0,-51800.0,-8280.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,-51800.0,51800.0,35960.0,-51800.0,-51800.0
2020-03-30,-48400.0,23520.0,-48400.0,-48400.0,-48400.0,-11680.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,-48400.0,48400.0,35960.0,-48400.0,-48400.0
2020-03-31,-51600.0,26720.0,-51600.0,-51600.0,-51600.0,-11680.0,-51600.0,-51600.0,-51600.0,-51600.0,-51600.0,-51600.0,-51600.0,-51600.0,-51600.0,-51600.0,-51600.0,51600.0,39160.0,-51600.0,-51600.0
2020-04-01,-53280.0,25040.0,-53280.0,-53280.0,-53280.0,-11680.0,-53280.0,-53280.0,-53280.0,-53280.0,-53280.0,-53280.0,-53280.0,-53280.0,-53280.0,-53280.0,-53280.0,53280.0,39160.0,-53280.0,-53280.0
2020-04-02,-51230.0,22990.0,-51230.0,-51230.0,-51230.0,-11680.0,-51230.0,-51230.0,-51230.0,-51230.0,-51230.0,-51230.0,-51230.0,-51230.0,-51230.0,-51230.0,-51230.0,51230.0,37110.0,-51230.0,-51230.0
2020-04-03,-54320.0,19900.0,-54320.0,-54320.0,-54320.0,-11680.0,-54320.0,-54320.0,-54320.0,-54320.0,-54320.0,-54320.0,-54320.0,-54320.0,-54320.0,-54320.0,-54320.0,54320.0,37110.0,-54320.0,-54320.0
2020-04-06,-48620.0,14200.0,-48620.0,-48620.0,-48620.0,-17380.0,-48620.0,-48620.0,-48620.0,-48620.0,-48620.0,-48620.0,-48620.0,-48620.0,-48620.0,-48620.0,-48620.0,48620.0,31410.0,-48620.0,-48620.0
2020-04-07,-46960.0,15860.0,-46960.0,-46960.0,-46960.0,-17380.0,-46960.0,-46960.0,-46960.0,-46960.0,-46960.0,-46960.0,-46960.0,-46960.0,-46960.0,-46960.0,-46960.0,46960.0,31410.0,-46960.0,-46960.0
2020-04-08,-47130.0,16030.0,-47130.0,-47130.0,-47130.0,-17380.0,-47130.0,-47130.0,-47130.0,-47130.0,-47130.0,-47130.0,-47130.0,-47130.0,-47130.0,-47130.0,-47130.0,47130.0,31580.0,-47130.0,-47130.0
2020-04-09,-43700.0,19460.0,-43700.0,-43700.0,-43700.0,-17380.0,-43700.0,-43700.0,-43700.0,-43700.0,-43700.0,-43700.0,-43700.0,-43700.0,-43700.0,-43700.0,-43700.0,43700.0,31580.0,-43700.0,-43700.0
2020-04-13,-44700.0,20460.0,-44700.0,-44700.0,-44700.0,-17380.0,-44700.0,-44700.0,-44700.0,-44700.0,-44700.0,-44700.0,-44700.0,-44700.0,-44700.0,-44700.0,-44700.0,44700.0,32580.0,-44700.0,-44700.0
2020-04-14,-42170.0,22990.0,-42170.0,-42170.0,-42170.0,-17380.0,-42170.0,-42170.0,-42170.0,-42170.0,-42170.0,-42170.0,-42170.0,-42170.0,-42170.0,-42170.0,-42170.0,42170.0,32580.0,-42170.0,-42170.0
2020-04-15,-44830.0,25650.0,-44830.0,-44830.0,-44830.0,-17380.0,-44830.0,-44830.0,-42170.0,-44830.0,-44830.0,-44830.0,-44830.0,-44830.0,-44830.0,-44830.0,-44830.0,44830.0,35240.0,-44830.0,-44830.0
2020-04-16,-46180.0,24300.0,-46180.0,-46180.0,-46180.0,-17380.0,-46180.0,-46180.0,-42170.0,-46180.0,-46180.0,-46180.0,-46180.0,-46180.0,-46180.0,-46180.0,-46180.0,46180.0,35240.0,-46180.0,-46180.0
2020-04-17,-41570.0,19690.0,-41570.0,-41570.0,-41570.0,-17380.0,-41570.0,-41570.0,-42170.0,-41570.0,-41570.0,-41570.0,-41570.0,-41570.0,-41570.0,-41570.0,-41570.0,41570.0,30630.0,-41570.0,-41570.0
2020-04-20,-45940.0,15320.0,-45940.0,-45940.0,-45940.0,-17380.0,-45940.0,-45940.0,-46540.0,-45940.0,-45940.0,-45940.0,-45940.0,-45940.0,-45940.0,-45940.0,-45940.0,45940.0,30630.0,-45940.0,-45940.0
2020-04-21,-47660.0,17040.0,-47660.0,-47660.0,-47660.0,-17380.0,-47660.0,-47660.0,-48260.0,-47660.0,-47660.0,-47660.0,-47660.0,-47660.0,-47660.0,-47660.0,-47660.0,47660.0,32350.0,-47660.0,-47660.0
2020-04-22,-47210.0,17490.0,-47210.0,-47210.0,-47210.0,-17380.0,-47210.0,-47210.0,-47810.0,-47210.0,-47210.0,-47210.0,-47210.0,-47210.0,-47210.0,-47210.0,-47210.0,47210.0,32350.0,-47210.0,-47210.0
2020-04-23,-47200.0,17480.0,-47200.0,-47200.0,-47200.0,-17380.0,-47200.0,-47200.0,-47800.0,-47200.0,-47200.0,-47200.0,-47200.0,-47200.0,-47200.0,-47200.0,-47200.0,47200.0,32340.0,-47200.0,-47200.0
2020-04-24,-47010.0,17670.0,-47010.0,-47010.0,-47010.0,-17380.0,-47010.0,-47010.0,-47610.0,-47010.0,-47010.0,-47010.0,-47010.0,-47010.0,-47010.0,-47010.0,-47010.0,47010.0,32340.0,-47010.0,-47010.0
2020-04-27,-42140.0,12800.0,-42140.0,-42140.0,-42140.0,-22250.0,-42140.0,-42140.0,-42740.0,-42140.0,-42140.0,-42140.0,-42140.0,-42140.0,-42140.0,-42140.0,-42140.0,42140.0,27470.0,-42140.0,-42140.0
2020-04-28,-41990.0,12950.0,-41990.0,-41990.0,-41990.0,-22250.0,-41990.0,-41990.0,-42590.0,-41990.0,-41990.0,-41990.0,-41990.0,-41990.0,-41990.0,-41990.0,-41990.0,41990.0,27470.0,-41990.0,-41990.0
2020-04-29,-35950.0,6910.0,-35950.0,-35950.0,-35950.0,-22250.0,-35950.0,-35950.0,-36550.0,-35950.0,-35950.0,-35950.0,-35950.0,-35950.0,-35950.0,-35950.0,-35950.0,35950.0,21430.0,-35950.0,-35950.0
2020-04-30,-40050.0,2810.0,-40050.0,-40050.0,-40050.0,-22250.0,-40050.0,-40050.0,-36550.0,-40050.0,-40050.0,-40050.0,-40050.0,-40050.0,-40050.0,-40050.0,-40050.0,40050.0,21430.0,-40050.0,-40050.0
