Date,Baseline,BBP & OBV & RSI & WPR,BBP & OBV & AU & WPR,BBP & OBV & AD & WPR,BBP & OBV & S & WPR,BBP & RSI & AU & WPR,BBP & RSI & AD & WPR,BBP & RSI & S & WPR,BBP & AU & AD & WPR,BBP & AU & S & WPR,BBP & AD & S & WPR,OBV & RSI & AU & WPR,OBV & RSI & AD & WPR,OBV & RSI & S & WPR,OBV & AU & AD & WPR,OBV & AU & S & WPR,OBV & AD & S & WPR,RSI & AU & AD & WPR,RSI & AU & S & WPR,RSI & AD & S & WPR,AU & AD & S & WPR
2018-04-06,-11140.0,-9800.0,-11140.0,-11140.0,-11140.0,1570.0,-11140.0,-11140.0,-6340.0,-11140.0,-11140.0,-11140.0,-11140.0,-11140.0,-11140.0,-11140.0,-11140.0,11140.0,670.0,-11140.0,-11140.0
2018-04-09,-11770.0,-10430.0,-11770.0,-11770.0,-11770.0,1570.0,-11770.0,-11770.0,-6970.0,-11770.0,-11770.0,-11770.0,-11770.0,-11770.0,-11770.0,-11770.0,-11770.0,11770.0,670.0,-11770.0,-11770.0
2018-04-10,-10150.0,-12050.0,-10150.0,-10150.0,-10150.0,-50.0,-10150.0,-10150.0,-5350.0,-10150.0,-10150.0,-10150.0,-10150.0,-10150.0,-10150.0,-10150.0,-10150.0,10150.0,-950.0,-10150.0,-10150.0
2018-04-11,-10700.0,-12600.0,-10700.0,-10700.0,-10700.0,-50.0,-10700.0,-10700.0,-5900.0,-10700.0,-10700.0,-10700.0,-10700.0,-10700.0,-10700.0,-10700.0,-10700.0,10700.0,-950.0,-10700.0,-10700.0
2018-04-12,-11100.0,-12200.0,-11100.0,-11100.0,-11100.0,-50.0,-11100.0,-11100.0,-6300.0,-11100.0,-11100.0,-11100.0,-11100.0,-11100.0,-11100.0,-11100.0,-11100.0,11100.0,-550.0,-11100.0,-11100.0
2018-04-13,-11140.0,-12240.0,-11140.0,-11140.0,-11140.0,-50.0,-11140.0,-11140.0,-6340.0,-11140.0,-11140.0,-11140.0,-11140.0,-11140.0,-11140.0,-11140.0,-11140.0,11140.0,-550.0,-11140.0,-11140.0
2018-04-16,-11250.0,-12130.0,-11250.0,-11250.0,-11250.0,-50.0,-11250.0,-11250.0,-6450.0,-11250.0,-11250.0,-11250.0,-11250.0,-11250.0,-11250.0,-11250.0,-11250.0,11250.0,-440.0,-11250.0,-11250.0
2018-04-17,-9370.0,-10250.0,-9370.0,-9370.0,-9370.0,-1930.0,-9370.0,-9370.0,-4570.0,-9370.0,-9370.0,-9370.0,-9370.0,-9370.0,-9370.0,-9370.0,-9370.0,9370.0,-440.0,-9370.0,-9370.0
2018-04-18,-10300.0,-9320.0,-10300.0,-10300.0,-10300.0,-1930.0,-10300.0,-10300.0,-4570.0,-10300.0,-10300.0,-10300.0,-10300.0,-10300.0,-10300.0,-10300.0,-10300.0,10300.0,490.0,-10300.0,-10300.0
2018-04-19,-10610.0,-9630.0,-10610.0,-10610.0,-10610.0,-1930.0,-10610.0,-10610.0,-4570.0,-10610.0,-10610.0,-10610.0,-10610.0,-10610.0,-10610.0,-10610.0,-10610.0,10610.0,490.0,-10610.0,-10610.0
2018-04-20,-11250.0,-8990.0,-11250.0,-11250.0,-11250.0,-1930.0,-11250.0,-11250.0,-4570.0,-11250.0,-11250.0,-11250.0,-11250.0,-11250.0,-11250.0,-11250.0,-11250.0,11250.0,1130.0,-11250.0,-11250.0
2018-04-23,-11330.0,-9070.0,-11330.0,-11330.0,-11330.0,-1850.0,-11330.0,-11330.0,-4650.0,-11330.0,-11330.0,-11330.0,-11330.0,-11330.0,-11330.0,-11330.0,-11330.0,11330.0,1130.0,-11330.0,-11330.0
2018-04-24,-12000.0,-8400.0,-12000.0,-12000.0,-12000.0,-1180.0,-12000.0,-12000.0,-5320.0,-12000.0,-12000.0,-12000.0,-12000.0,-12000.0,-12000.0,-12000.0,-12000.0,12000.0,1800.0,-12000.0,-12000.0
2018-04-25,-10360.0,-6760.0,-10360.0,-10360.0,-10360.0,460.0,-10360.0,-10360.0,-3680.0,-10360.0,-10360.0,-10360.0,-10360.0,-10360.0,-10360.0,-10360.0,-10360.0,10360.0,1800.0,-10360.0,-10360.0
2018-04-26,-11640.0,-5480.0,-11640.0,-11640.0,-11640.0,460.0,-11640.0,-11640.0,-4960.0,-11640.0,-11640.0,-11640.0,-11640.0,-11640.0,-11640.0,-11640.0,-11640.0,11640.0,3080.0,-11640.0,-11640.0
2018-04-27,-12230.0,-6070.0,-12230.0,-12230.0,-12230.0,1050.0,-12230.0,-12230.0,-5550.0,-12230.0,-12230.0,-12230.0,-12230.0,-12230.0,-12230.0,-12230.0,-12230.0,12230.0,3080.0,-12230.0,-12230.0
2018-04-30,-11160.0,-7140.0,-11160.0,-11160.0,-11160.0,2120.0,-11160.0,-11160.0,-4480.0,-11160.0,-11160.0,-11160.0,-11160.0,-11160.0,-11160.0,-11160.0,-11160.0,11160.0,2010.0,-11160.0,-11160.0
2018-05-01,-11420.0,-7400.0,-11420.0,-11420.0,-11420.0,2380.0,-11420.0,-11420.0,-4740.0,-11420.0,-11420.0,-11420.0,-11420.0,-11420.0,-11420.0,-11420.0,-11420.0,11420.0,2010.0,-11420.0,-11420.0
2018-05-02,-11850.0,-6970.0,-11850.0,-11850.0,-11850.0,2810.0,-11850.0,-11850.0,-5170.0,-11850.0,-11850.0,-11850.0,-11850.0,-11850.0,-11850.0,-11850.0,-11850.0,11850.0,2440.0,-11850.0,-11850.0
2018-05-03,-12690.0,-7810.0,-12690.0,-12690.0,-12690.0,3650.0,-12690.0,-12690.0,-6010.0,-12690.0,-12690.0,-12690.0,-12690.0,-12690.0,-12690.0,-12690.0,-12690.0,12690.0,2440.0,-12690.0,-12690.0
2018-05-04,-10360.0,-10140.0,-10360.0,-10360.0,-10360.0,5980.0,-10360.0,-10360.0,-3680.0,-10360.0,-10360.0,-10360.0,-10360.0,-10360.0,-10360.0,-10360.0,-10360.0,10360.0,110.0,-10360.0,-10360.0
2018-05-07,-9070.0,-8850.0,-9070.0,-9070.0,-9070.0,5980.0,-9070.0,-9070.0,-2390.0,-9070.0,-9070.0,-9070.0,-9070.0,-9070.0,-9070.0,-9070.0,-9070.0,9070.0,110.0,-9070.0,-9070.0
2018-05-08,-9740.0,-8180.0,-9740.0,-9740.0,-9740.0,5980.0,-9740.0,-9740.0,-2390.0,-9740.0,-9740.0,-9740.0,-9740.0,-9740.0,-9740.0,-9740.0,-9740.0,9740.0,780.0,-9740.0,-9740.0
2018-05-09,-11510.0,-9950.0,-11510.0,-11510.0,-11510.0,5980.0,-11510.0,-11510.0,-2390.0,-11510.0,-11510.0,-11510.0,-11510.0,-11510.0,-11510.0,-11510.0,-11510.0,11510.0,780.0,-11510.0,-11510.0
2018-05-10,-9850.0,-11610.0,-9850.0,-9850.0,-9850.0,4320.0,-9850.0,-9850.0,-730.0,-9850.0,-9850.0,-9850.0,-9850.0,-9850.0,-9850.0,-9850.0,-9850.0,9850.0,-880.0,-9850.0,-9850.0
2018-05-11,-9470.0,-11230.0,-9470.0,-9470.0,-9470.0,4320.0,-9470.0,-9470.0,-350.0,-9470.0,-9470.0,-9470.0,-9470.0,-9470.0,-9470.0,-9470.0,-9470.0,9470.0,-880.0,-9470.0,-9470.0
2018-05-14,-9110.0,-11590.0,-9110.0,-9110.0,-9110.0,4320.0,-9110.0,-9110.0,10.0,-9110.0,-9110.0,-9110.0,-9110.0,-9110.0,-9110.0,-9110.0,-9110.0,9110.0,-1240.0,-9110.0,-9110.0
2018-05-15,-8640.0,-11120.0,-8640.0,-8640.0,-8640.0,4320.0,-8640.0,-8640.0,480.0,-8640.0,-8640.0,-8640.0,-8640.0,-8640.0,-8640.0,-8640.0,-8640.0,8640.0,-1240.0,-8640.0,-8640.0
2018-05-16,-6580.0,-13180.0,-6580.0,-6580.0,-6580.0,4320.0,-6580.0,-6580.0,480.0,-6580.0,-6580.0,-6580.0,-6580.0,-6580.0,-6580.0,-6580.0,-6580.0,6580.0,-3300.0,-6580.0,-6580.0
2018-05-17,-7260.0,-13860.0,-7260.0,-7260.0,-7260.0,4320.0,-7260.0,-7260.0,-200.0,-7260.0,-7260.0,-7260.0,-7260.0,-7260.0,-7260.0,-7260.0,-7260.0,7260.0,-3300.0,-7260.0,-7260.0
2018-05-18,-7660.0,-13460.0,-7660.0,-7660.0,-7660.0,4320.0,-7660.0,-7660.0,-200.0,-7660.0,-7660.0,-7660.0,-7660.0,-7660.0,-7660.0,-7660.0,-7660.0,7660.0,-2900.0,-7660.0,-7660.0
2018-05-21,-7530.0,-13330.0,-7530.0,-7530.0,-7530.0,4320.0,-7530.0,-7530.0,-200.0,-7530.0,-7530.0,-7530.0,-7530.0,-7530.0,-7530.0,-7530.0,-7530.0,7530.0,-2900.0,-7530.0,-7530.0
